id,title,year,runtime,parental_guide,gross_us_canada
0111161,The Shawshank Redemption,1994,142,R,28767189.0
0068646,The Godfather,1972,175,R,136381073.0
0468569,The Dark Knight,2008,152,PG-13,534987076.0
0071562,The Godfather Part II,1974,202,R,47834595.0
0050083,12 Angry Men,1957,96,Approved,
0108052,Schindler's List,1993,195,R,96898818.0
0167260,The Lord of the Rings: The Return of the King,2003,201,PG-13,379427292.0
0110912,Pulp Fiction,1994,154,R,107928762.0
0120737,The Lord of the Rings: The Fellowship of the Ring,2001,178,PG-13,316115420.0
0060196,"Il buono, il brutto, il cattivo",1966,161,Approved,25100000.0
0109830,Forrest Gump,1994,142,PG-13,330455270.0
0137523,Fight Club,1999,139,R,37030102.0
0167261,The Lord of the Rings: The Two Towers,2002,179,PG-13,342952511.0
1375666,Inception,2010,148,PG-13,292587330.0
0080684,Star Wars: Episode V - The Empire Strikes Back,1980,124,PG,292753960.0
0133093,The Matrix,1999,136,R,172076928.0
0099685,Goodfellas,1990,145,R,46909721.0
0073486,One Flew Over the Cuckoo's Nest,1975,133,R,108981275.0
0114369,Se7en,1995,127,R,100125643.0
0038650,It's a Wonderful Life,1946,130,PG,1483643.0
0816692,Interstellar,2014,169,PG-13,188020017.0
0047478,Shichinin no samurai,1954,207,Not Rated,318649.0
0102926,The Silence of the Lambs,1991,118,R,130742922.0
0120815,Saving Private Ryan,1998,169,R,217049603.0
0317248,Cidade de Deus,2002,130,R,7564459.0
0118799,La vita è bella,1997,116,PG-13,57563264.0
0120689,The Green Mile,1999,189,R,136801374.0
0103064,Terminator 2: Judgment Day,1991,137,18+,205881154.0
0076759,Star Wars,1977,121,PG,460998507.0
9362722,Spider-Man: Across the Spider-Verse,2023,140,PG,381593754.0
0088763,Back to the Future,1985,116,PG,214077472.0
0245429,Sen to Chihiro no kamikakushi,2001,125,PG,15205725.0
0253474,The Pianist,2002,150,R,32580772.0
6751668,Gisaengchung,2019,132,R,53369749.0
0054215,Psycho,1960,109,R,32000000.0
0172495,Gladiator,2000,155,R,187705427.0
0110357,The Lion King,1994,88,G,422783777.0
0110413,Léon,1994,110,R,19501238.0
0407887,The Departed,2006,151,18+,132399394.0
0120586,American History X,1998,119,R,6719864.0
2582802,Whiplash,2014,106,R,13092000.0
0482571,The Prestige,2006,130,PG-13,53089891.0
0095327,Hotaru no haka,1988,89,Not Rated,516962.0
0056058,Seppuku,1962,133,Not Rated,
0114814,The Usual Suspects,1995,106,R,23341568.0
0034583,Casablanca,1942,102,PG,4219709.0
1675434,Intouchables,2011,112,R,10198820.0
0027977,Modern Times,1936,87,G,163577.0
0095765,Nuovo Cinema Paradiso,1988,155,PG,12397210.0
23849204,12th Fail,2023,147,,
0047396,Rear Window,1954,112,PG,36764313.0
0064116,C'era una volta il West,1968,166,PG-13,5321508.0
0078748,Alien,1979,117,R,81900459.0
0021749,City Lights,1931,87,G,19181.0
0078788,Apocalypse Now,1979,147,R,96042913.0
1853728,Django Unchained,2012,165,R,162805434.0
0209144,Memento,2000,113,R,25544867.0
0910970,WALL·E,2008,98,G,223808164.0
0082971,Raiders of the Lost Ark,1981,115,PG,248159971.0
0405094,Das Leben der Anderen,2006,137,R,11286112.0
0043014,Sunset Blvd.,1950,110,Passed,299645.0
0050825,Paths of Glory,1957,88,Approved,
4154756,Avengers: Infinity War,2018,149,PG-13,678815482.0
4633694,Spider-Man: Into the Spider-Verse,2018,117,PG,190241310.0
0081505,The Shining,1980,146,R,45634352.0
0051201,Witness for the Prosecution,1957,116,Approved,
0032553,The Great Dictator,1940,125,G,
0090605,Aliens,1986,137,R,85160248.0
0361748,Inglourious Basterds,2009,153,R,120540719.0
1345836,The Dark Knight Rises,2012,164,PG-13,448149584.0
0169547,American Beauty,1999,122,R,130096601.0
0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,PG,9440272.0
0364569,Oldeuboi,2003,120,R,2458200.0
2380307,Coco,2017,105,PG,210460015.0
0086879,Amadeus,1984,160,PG,51973029.0
0114709,Toy Story,1995,81,G,223225679.0
0082096,Das Boot,1981,149,,11487676.0
0112573,Braveheart,1995,178,R,75609945.0
4154796,Avengers: Endgame,2019,181,PG-13,858373000.0
15398776,Oppenheimer,2023,180,R,328581295.0
7286456,Joker,2019,122,R,335477657.0
0119698,Mononoke-hime,1997,134,PG-13,4845631.0
0119217,Good Will Hunting,1997,126,R,138433435.0
5311514,Kimi no na wa.,2016,106,TV-PG,5017246.0
0087843,Once Upon a Time in America,1984,229,R,5321508.0
1187043,3 Idiots,2009,170,PG-13,6532874.0
0057565,Tengoku to jigoku,1963,143,Not Rated,46808.0
0045152,Singin' in the Rain,1952,103,G,1884537.0
8267604,Capharnaüm,2018,126,R,1661096.0
0180093,Requiem for a Dream,2000,102,Unrated,3635482.0
0091251,Idi i smotri,1985,142,Not Rated,71909.0
0435761,Toy Story 3,2010,103,G,415004880.0
0086190,Star Wars: Episode VI - Return of the Jedi,1983,131,PG,316566101.0
0338013,Eternal Sunshine of the Spotless Mind,2004,108,R,34400301.0
2106476,Jagten,2012,115,R,613308.0
0062622,2001: A Space Odyssey,1968,149,G,60481243.0
0105236,Reservoir Dogs,1992,99,R,2832029.0
0044741,Ikiru,1952,143,Not Rated,60239.0
14230458,Poor Things,2023,141,R,26648223.0
0056172,Lawrence of Arabia,1962,218,Approved,45306425.0
0053604,The Apartment,1960,125,Approved,18600000.0
0033467,Citizen Kane,1941,119,PG,1627530.0
0053125,North by Northwest,1959,136,Approved,66728.0
0022100,M - Eine Stadt sucht einen Mörder,1931,117,Passed,35566.0
0052357,Vertigo,1958,128,PG,7705225.0
0036775,Double Indemnity,1944,107,Passed,
0086250,Scarface,1983,170,18+,45967303.0
0211915,Le fabuleux destin d'Amélie Poulain,2001,122,R,33225499.0
1255953,Incendies,2010,131,R,2071334.0
0093058,Full Metal Jacket,1987,116,R,46357676.0
0066921,A Clockwork Orange,1971,136,X,26617553.0
0113277,Heat,1995,170,R,67436818.0
1049413,Up,2009,96,PG,293004164.0
0056592,To Kill a Mockingbird,1962,129,Approved,592237.0
0070735,The Sting,1973,129,PG,156000000.0
1832382,Jodaeiye Nader az Simin,2011,123,PG-13,7099055.0
0097576,Indiana Jones and the Last Crusade,1989,127,PG-13,197171806.0
8503618,Hamilton,2020,160,PG-13,
0095016,Die Hard,1988,132,R,85892546.0
0017136,Metropolis,1927,153,Not Rated,1236166.0
0986264,Taare Zameen Par,2007,162,PG,1223869.0
0208092,Snatch,2000,104,R,30328156.0
0040522,Ladri di biciclette,1948,89,Not Rated,371111.0
0119488,L.A. Confidential,1997,138,R,64616940.0
8579674,1917,2019,119,R,159227644.0
0075314,Taxi Driver,1976,114,R,28262574.0
0363163,Der Untergang,2004,156,R,5509040.0
5074352,Dangal,2016,161,Not Rated,12391761.0
0059578,Per qualche dollaro in più,1965,132,R,15000000.0
0372784,Batman Begins,2005,140,PG-13,206863479.0
0053291,Some Like It Hot,1959,121,Passed,
0993846,The Wolf of Wall Street,2013,180,R,116900694.0
0012349,The Kid,1921,68,Passed,
6966692,Green Book,2018,130,PG-13,85080171.0
10272386,The Father,2020,97,PG-13,2122771.0
1745960,Top Gun: Maverick,2022,130,PG-13,718732821.0
0042192,All About Eve,1950,138,Passed,63463.0
0055031,Judgment at Nuremberg,1961,179,Approved,
0120382,The Truman Show,1998,103,PG,125618201.0
0469494,There Will Be Blood,2007,158,R,40222514.0
1130884,Shutter Island,2010,138,R,128012934.0
0112641,Casino,1995,178,R,42512375.0
0089881,Ran,1985,160,R,4135750.0
0107290,Jurassic Park,1993,127,PG-13,407185075.0
0167404,The Sixth Sense,1999,107,PG-13,293506292.0
0457430,El laberinto del fauno,2006,118,R,37646380.0
0105695,Unforgiven,1992,130,R,101167799.0
0268978,A Beautiful Mind,2001,135,PG-13,170742341.0
0477348,No Country for Old Men,2007,122,R,74283625.0
0040897,The Treasure of the Sierra Madre,1948,126,Passed,5014000.0
0055630,Yôjinbô,1961,110,Not Rated,46808.0
0084787,The Thing,1982,109,R,19857465.0
0266697,Kill Bill: Vol. 1,2003,111,R,70099045.0
0071853,Monty Python and the Holy Grail,1975,91,PG,2562392.0
0057115,The Great Escape,1963,172,Approved,
0266543,Finding Nemo,2003,100,G,380843261.0
0042876,Rashômon,1950,88,Not Rated,46808.0
0080678,The Elephant Man,1980,124,PG,26010864.0
0347149,Hauru no ugoku shiro,2004,119,PG,6789268.0
0071315,Chinatown,1974,130,R,29200000.0
1392214,Prisoners,2013,153,R,61002302.0
0046912,Dial M for Murder,1954,105,PG,24845.0
0031381,Gone with the Wind,1939,238,Passed,200882193.0
0434409,V for Vendetta,2005,132,R,70511035.0
0120735,"Lock, Stock and Two Smoking Barrels",1998,107,R,3753929.0
1305806,El secreto de sus ojos,2009,129,R,6391436.0
0081398,Raging Bull,1980,129,R,23383987.0
2096673,Inside Out,2015,95,PG,356921711.0
5027774,"Three Billboards Outside Ebbing, Missouri",2017,115,R,54513740.0
0117951,Trainspotting,1996,93,R,16491080.0
0050212,The Bridge on the River Kwai,1957,161,PG,27200000.0
10872600,Spider-Man: No Way Home,2021,148,PG-13,814115070.0
0116282,Fargo,1996,98,R,24611975.0
23289160,Gojira -1.0,2023,124,PG-13,56418793.0
1291584,Warrior,2011,140,PG-13,13657115.0
4729430,Klaus,2019,96,PG,
0264464,Catch Me If You Can,2002,141,PG-13,164615351.0
1205489,Gran Torino,2008,116,R,148095302.0
0096283,Tonari no Totoro,1988,86,G,2250213.0
0405159,Million Dollar Baby,2004,132,PG-13,100492203.0
1201607,Harry Potter and the Deathly Hallows - Part 2,2011,130,PG-13,381447587.0
0118849,Bacheha-Ye aseman,1997,89,PG,933933.0
0083658,Blade Runner,1982,117,R,32914489.0
2024544,12 Years a Slave,2013,134,R,56671993.0
0112471,Before Sunrise,1995,101,R,5535405.0
2278388,The Grand Budapest Hotel,2014,99,R,59301324.0
0052618,Ben-Hur,1959,212,G,74432704.0
0072684,Barry Lyndon,1975,185,PG,
2267998,Gone Girl,2014,149,R,167767189.0
0015864,The Gold Rush,1925,95,Passed,
2119532,Hacksaw Ridge,2016,139,R,67209615.0
0107207,In the Name of the Father,1993,133,R,25096862.0
0353969,Salinui chueok,2003,131,Not Rated,15357.0
0047296,On the Waterfront,1954,108,Approved,
0017925,The General,1926,78,Passed,
0077416,The Deer Hunter,1978,183,R,48979328.0
0097165,Dead Poets Society,1989,128,PG,95860116.0
3011894,Relatos salvajes,2014,122,R,3106530.0
1392190,Mad Max: Fury Road,2015,120,R,154280290.0
0050986,Smultronstället,1957,91,Not Rated,
0015324,Sherlock Jr.,1924,4,Passed,
0041959,The Third Man,1949,104,Approved,1067364.0
0198781,"Monsters, Inc.",2001,92,G,290642256.0
0046268,Le salaire de la peur,1953,131,Not Rated,
0073195,Jaws,1975,124,PG,266567580.0
0892769,How to Train Your Dragon,2010,98,PG,217581231.0
0031679,Mr. Smith Goes to Washington,1939,129,Passed,144738.0
0978762,Mary and Max.,2009,92,Not Rated,
1950186,Ford v Ferrari,2019,152,PG-13,117624357.0
0382932,Ratatouille,2007,111,G,206445654.0
0050976,Det sjunde inseglet,1957,96,Not Rated,
3170832,Room,2015,118,R,14677654.0
0118715,The Big Lebowski,1998,117,R,19301403.0
0046438,Tôkyô monogatari,1953,136,Not Rated,
0075148,Rocky,1976,120,PG,117235147.0
0395169,Hotel Rwanda,2004,121,PG-13,23530892.0
3315342,Logan,2017,137,R,226277068.0
1895587,Spotlight,2015,129,R,45055776.0
0091763,Platoon,1986,120,R,138530565.0
0088247,The Terminator,1984,107,R,38371200.0
0019254,La passion de Jeanne d'Arc,1928,110,Passed,21877.0
15097216,Jai Bhim,2021,164,TV-MA,
0381681,Before Sunset,2004,80,R,5820649.0
0036868,The Best Years of Our Lives,1946,170,Approved,23650000.0
0113247,La haine,1995,98,Not Rated,280859.0
1979320,Rush,2013,123,R,26947624.0
0070047,The Exorcist,1973,122,R,233005644.0
0074958,Network,1976,121,R,23689877.0
0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,PG-13,305413918.0
0092005,Stand by Me,1986,89,R,52287414.0
0032138,The Wizard of Oz,1939,102,G,24668669.0
0317705,The Incredibles,2004,115,PG,261441092.0
0758758,Into the Wild,2007,148,R,18354356.0
1028532,Hachi: A Dog's Tale,2009,93,G,
4016934,Ah-ga-ssi,2016,145,Not Rated,2006788.0
0035446,To Be or Not to Be,1942,99,Passed,3270000.0
0476735,Babam ve Oglum,2005,112,Not Rated,
0107048,Groundhog Day,1993,101,PG,71107962.0
0032551,The Grapes of Wrath,1940,129,Passed,
0058946,La battaglia di Algeri,1966,121,Not Rated,879794.0
0059742,The Sound of Music,1965,172,G,159287539.0
0245712,Amores perros,2000,154,R,5408467.0
0032976,Rebecca,1940,130,Approved,
0061512,Cool Hand Luke,1967,127,GP,
0129167,The Iron Giant,1999,86,PG,23315035.0
1454029,The Help,2011,146,PG-13,169708112.0
0025316,It Happened One Night,1934,105,Passed,
0053198,Les quatre cents coups,1959,99,Not Rated,509.0
0103639,Aladdin,1992,90,G,217350219.0
4430212,Drishyam,2015,163,Not Rated,
